tcp.srcport,tcp.dstport,tcp.flags,tcp.flags_numeric,tcp.window_size_value,type_f,type_n,series_id,instance_id
39185,5900,2,1,1024,0,1,1,1
39185,53,2,1,1024,0,1,1,2
39185,3389,2,1,1024,0,1,1,3
39185,993,2,1,1024,0,1,1,4
39185,3306,2,1,1024,0,1,1,5
39185,1025,2,1,1024,0,1,1,6
39185,135,2,1,1024,0,1,1,7
39185,139,2,1,1024,0,1,1,8
39185,8080,2,1,1024,0,1,1,9
5900,39185,20,7,0,0,1,1,10
39185,587,2,1,1024,0,1,1,11
53,39185,20,7,0,0,1,1,12
3389,39185,20,7,0,0,1,1,13
993,39185,20,7,0,0,1,1,14
3306,39185,20,7,0,0,1,1,15
1025,39185,20,7,0,0,1,1,16
135,39185,20,7,0,0,1,1,17
139,39185,20,7,0,0,1,1,18
8080,39185,20,7,0,0,1,1,19
587,39185,20,7,0,0,1,1,20
39185,443,2,1,1024,0,1,1,21
39185,113,2,1,1024,0,1,1,22
39185,995,2,1,1024,0,1,1,23
39185,1723,2,1,1024,0,1,1,24
39185,22,2,1,1024,0,1,1,25
39185,8888,2,1,1024,0,1,1,26
39185,199,2,1,1024,0,1,1,27
39185,1720,2,1,1024,0,1,1,28
39185,554,2,1,1024,0,1,1,29
443,39185,20,7,0,0,1,1,30
113,39185,20,7,0,0,1,1,31
39185,110,2,1,1024,0,1,1,32
39185,23,2,1,1024,0,1,1,33
39185,143,2,1,1024,0,1,1,34
995,39185,20,7,0,0,1,1,35
1723,39185,20,7,0,0,1,1,36
22,39185,20,7,0,0,1,1,37
39185,21,2,1,1024,0,1,1,38
39185,111,2,1,1024,0,1,1,39
39185,445,2,1,1024,0,1,1,40
39185,80,2,1,1024,0,1,1,41
39185,25,2,1,1024,0,1,1,42
39185,5101,2,1,1024,0,1,1,43
8888,39185,20,7,0,0,1,1,44
199,39185,20,7,0,0,1,1,45
39185,3986,2,1,1024,0,1,1,46
39185,6000,2,1,1024,0,1,1,47
1720,39185,20,7,0,0,1,1,48
554,39185,20,7,0,0,1,1,49
110,39185,20,7,0,0,1,1,50
23,39185,20,7,0,0,1,1,51
143,39185,20,7,0,0,1,1,52
21,39185,20,7,0,0,1,1,53
111,39185,20,7,0,0,1,1,54
445,39185,20,7,0,0,1,1,55
80,39185,20,7,0,0,1,1,56
25,39185,20,7,0,0,1,1,57
5101,39185,20,7,0,0,1,1,58
3986,39185,20,7,0,0,1,1,59
6000,39185,20,7,0,0,1,1,60
39185,9100,2,1,1024,0,1,1,61
39185,513,2,1,1024,0,1,1,62
39185,5800,2,1,1024,0,1,1,63
39185,13,2,1,1024,0,1,1,64
39185,2000,2,1,1024,0,1,1,65
9100,39185,20,7,0,0,1,1,66
513,39185,20,7,0,0,1,1,67
5800,39185,20,7,0,0,1,1,68
39185,1027,2,1,1024,0,1,1,69
39185,32768,2,1,1024,0,1,1,70
39185,144,2,1,1024,0,1,1,71
39185,444,2,1,1024,0,1,1,72
13,39185,20,7,0,0,1,1,73
39185,119,2,1,1024,0,1,1,74
39185,7,2,1,1024,0,1,1,75
39185,3000,2,1,1024,0,1,1,76
2000,39185,20,7,0,0,1,1,77
1027,39185,20,7,0,0,1,1,78
39185,6646,2,1,1024,0,1,1,79
39185,5666,2,1,1024,0,1,1,80
39185,990,2,1,1024,0,1,1,81
39185,873,2,1,1024,0,1,1,82
32768,39185,20,7,0,0,1,1,83
144,39185,20,7,0,0,1,1,84
444,39185,20,7,0,0,1,1,85
39185,543,2,1,1024,0,1,1,86
39185,8081,2,1,1024,0,1,1,87
39185,548,2,1,1024,0,1,1,88
39185,8443,2,1,1024,0,1,1,89
39185,88,2,1,1024,0,1,1,90
119,39185,20,7,0,0,1,1,91
