tcp.srcport,tcp.dstport,tcp.flags,tcp.flags_numeric,tcp.window_size_value,type_f,type_n,series_id,instance_id
44600,8080,2,1,1024,0,1,1,1
44600,199,2,1,1024,0,1,1,2
44600,25,2,1,1024,0,1,1,3
44600,111,2,1,1024,0,1,1,4
44600,995,2,1,1024,0,1,1,5
44600,80,2,1,1024,0,1,1,6
44600,1025,2,1,1024,0,1,1,7
44600,23,2,1,1024,0,1,1,8
44600,143,2,1,1024,0,1,1,9
44600,554,2,1,1024,0,1,1,10
44600,443,2,1,1024,0,1,1,11
44600,139,2,1,1024,0,1,1,12
44600,22,2,1,1024,0,1,1,13
44600,1720,2,1,1024,0,1,1,14
44600,5900,2,1,1024,0,1,1,15
44600,993,2,1,1024,0,1,1,16
44600,1723,2,1,1024,0,1,1,17
44600,3389,2,1,1024,0,1,1,18
44600,3306,2,1,1024,0,1,1,19
44600,135,2,1,1024,0,1,1,20
44600,110,2,1,1024,0,1,1,21
44600,113,2,1,1024,0,1,1,22
44600,21,2,1,1024,0,1,1,23
44600,53,2,1,1024,0,1,1,24
44600,445,2,1,1024,0,1,1,25
44600,587,2,1,1024,0,1,1,26
44600,8888,2,1,1024,0,1,1,27
44600,8000,2,1,1024,0,1,1,28
44600,5631,2,1,1024,0,1,1,29
44600,9,2,1,1024,0,1,1,30
44600,2121,2,1,1024,0,1,1,31
44600,631,2,1,1024,0,1,1,32
44600,514,2,1,1024,0,1,1,33
44600,2717,2,1,1024,0,1,1,34
44600,5101,2,1,1024,0,1,1,35
44600,5000,2,1,1024,0,1,1,36
44600,6001,2,1,1024,0,1,1,37
44600,13,2,1,1024,0,1,1,38
44600,544,2,1,1024,0,1,1,39
44600,8081,2,1,1024,0,1,1,40
44600,179,2,1,1024,0,1,1,41
44600,444,2,1,1024,0,1,1,42
44600,26,2,1,1024,0,1,1,43
44600,1026,2,1,1024,0,1,1,44
44600,4899,2,1,1024,0,1,1,45
44600,49153,2,1,1024,0,1,1,46
44600,873,2,1,1024,0,1,1,47
44600,389,2,1,1024,0,1,1,48
44600,5666,2,1,1024,0,1,1,49
44600,106,2,1,1024,0,1,1,50
44600,49155,2,1,1024,0,1,1,51
44600,2001,2,1,1024,0,1,1,52
44600,49157,2,1,1024,0,1,1,53
44600,9100,2,1,1024,0,1,1,54
44600,543,2,1,1024,0,1,1,55
44600,3986,2,1,1024,0,1,1,56
44600,1755,2,1,1024,0,1,1,57
44600,37,2,1,1024,0,1,1,58
44600,10000,2,1,1024,0,1,1,59
44600,119,2,1,1024,0,1,1,60
44600,32768,2,1,1024,0,1,1,61
44600,7070,2,1,1024,0,1,1,62
44600,5800,2,1,1024,0,1,1,63
44600,5357,2,1,1024,0,1,1,64
44600,6646,2,1,1024,0,1,1,65
44600,1027,2,1,1024,0,1,1,66
44600,6000,2,1,1024,0,1,1,67
44600,513,2,1,1024,0,1,1,68
44600,81,2,1,1024,0,1,1,69
44600,7,2,1,1024,0,1,1,70
44600,515,2,1,1024,0,1,1,71
44600,49154,2,1,1024,0,1,1,72
44600,990,2,1,1024,0,1,1,73
44600,5009,2,1,1024,0,1,1,74
44600,5432,2,1,1024,0,1,1,75
44600,1433,2,1,1024,0,1,1,76
44600,2000,2,1,1024,0,1,1,77
44600,465,2,1,1024,0,1,1,78
44600,3128,2,1,1024,0,1,1,79
44600,8009,2,1,1024,0,1,1,80
44600,144,2,1,1024,0,1,1,81
44600,1028,2,1,1024,0,1,1,82
44600,2049,2,1,1024,0,1,1,83
44600,1110,2,1,1024,0,1,1,84
44600,8443,2,1,1024,0,1,1,85
44600,5190,2,1,1024,0,1,1,86
44600,8008,2,1,1024,0,1,1,87
44600,49156,2,1,1024,0,1,1,88
44600,1029,2,1,1024,0,1,1,89
44600,427,2,1,1024,0,1,1,90
44600,548,2,1,1024,0,1,1,91
44600,5060,2,1,1024,0,1,1,92
44600,646,2,1,1024,0,1,1,93
44600,88,2,1,1024,0,1,1,94
44600,49152,2,1,1024,0,1,1,95
45077,7,2,1,31337,1,0,1,96
45078,7,16,2,32768,1,0,1,97
45079,7,41,10,65535,1,0,1,98
45333,7,2,1,31337,1,0,1,99
45334,7,16,2,32768,1,0,1,100
45335,7,41,10,65535,1,0,1,101
63313,587,2,1,1024,0,1,1,102
63313,1025,2,1,1024,0,1,1,103
63313,5900,2,1,1024,0,1,1,104
63313,8080,2,1,1024,0,1,1,105
63313,22,2,1,1024,0,1,1,106
