tcp.srcport,tcp.dstport,tcp.flags,tcp.flags_numeric,tcp.window_size_value,type_f,type_n,series_id,instance_id
64337,53,2,1,1024,0,1,1,1
64337,199,2,1,1024,0,1,1,2
64337,22,2,1,1024,0,1,1,3
64337,111,2,1,1024,0,1,1,4
64337,554,2,1,1024,0,1,1,5
64337,1720,2,1,1024,0,1,1,6
64337,3306,2,1,1024,0,1,1,7
64337,21,2,1,1024,0,1,1,8
64337,8888,2,1,1024,0,1,1,9
64337,80,2,1,1024,0,1,1,10
64337,143,2,1,1024,0,1,1,11
64337,443,2,1,1024,0,1,1,12
64337,1025,2,1,1024,0,1,1,13
64337,1723,2,1,1024,0,1,1,14
64337,993,2,1,1024,0,1,1,15
64337,3389,2,1,1024,0,1,1,16
64337,135,2,1,1024,0,1,1,17
64337,8080,2,1,1024,0,1,1,18
64337,25,2,1,1024,0,1,1,19
64337,23,2,1,1024,0,1,1,20
64337,445,2,1,1024,0,1,1,21
64337,5900,2,1,1024,0,1,1,22
64337,139,2,1,1024,0,1,1,23
64337,587,2,1,1024,0,1,1,24
64337,995,2,1,1024,0,1,1,25
64337,110,2,1,1024,0,1,1,26
64337,113,2,1,1024,0,1,1,27
64337,873,2,1,1024,0,1,1,28
64337,13,2,1,1024,0,1,1,29
64337,8008,2,1,1024,0,1,1,30
64337,5800,2,1,1024,0,1,1,31
64337,5060,2,1,1024,0,1,1,32
64337,32768,2,1,1024,0,1,1,33
64337,8443,2,1,1024,0,1,1,34
64337,6646,2,1,1024,0,1,1,35
64337,49154,2,1,1024,0,1,1,36
64337,3000,2,1,1024,0,1,1,37
64337,1028,2,1,1024,0,1,1,38
64337,49156,2,1,1024,0,1,1,39
64337,8009,2,1,1024,0,1,1,40
64337,2049,2,1,1024,0,1,1,41
64337,49152,2,1,1024,0,1,1,42
64337,5000,2,1,1024,0,1,1,43
64337,2001,2,1,1024,0,1,1,44
64337,49157,2,1,1024,0,1,1,45
64337,444,2,1,1024,0,1,1,46
64337,1110,2,1,1024,0,1,1,47
64337,179,2,1,1024,0,1,1,48
64337,3128,2,1,1024,0,1,1,49
64337,5009,2,1,1024,0,1,1,50
64337,3000,4,6,0,0,1,1,51
64337,2717,2,1,1024,0,1,1,52
64337,8000,2,1,1024,0,1,1,53
64337,6000,2,1,1024,0,1,1,54
64337,5631,2,1,1024,0,1,1,55
64337,427,2,1,1024,0,1,1,56
64337,1900,2,1,1024,0,1,1,57
64337,7070,2,1,1024,0,1,1,58
64337,49155,2,1,1024,0,1,1,59
64337,26,2,1,1024,0,1,1,60
64337,81,2,1,1024,0,1,1,61
64337,544,2,1,1024,0,1,1,62
64337,389,2,1,1024,0,1,1,63
64337,10000,2,1,1024,0,1,1,64
64337,631,2,1,1024,0,1,1,65
64337,3986,2,1,1024,0,1,1,66
64337,2121,2,1,1024,0,1,1,67
64337,37,2,1,1024,0,1,1,68
64337,88,2,1,1024,0,1,1,69
64337,5051,2,1,1024,0,1,1,70
64337,990,2,1,1024,0,1,1,71
64337,9100,2,1,1024,0,1,1,72
64337,515,2,1,1024,0,1,1,73
64337,1755,2,1,1024,0,1,1,74
64337,465,2,1,1024,0,1,1,75
64337,1433,2,1,1024,0,1,1,76
64337,5101,2,1,1024,0,1,1,77
64337,144,2,1,1024,0,1,1,78
64337,49153,2,1,1024,0,1,1,79
64337,2000,2,1,1024,0,1,1,80
64337,514,2,1,1024,0,1,1,81
64337,646,2,1,1024,0,1,1,82
64337,9,2,1,1024,0,1,1,83
64337,7,2,1,1024,0,1,1,84
64337,9999,2,1,1024,0,1,1,85
64337,106,2,1,1024,0,1,1,86
64337,548,2,1,1024,0,1,1,87
64337,4899,2,1,1024,0,1,1,88
64337,513,2,1,1024,0,1,1,89
64337,1027,2,1,1024,0,1,1,90
64337,1026,2,1,1024,0,1,1,91
64337,5190,2,1,1024,0,1,1,92
64337,543,2,1,1024,0,1,1,93
64337,1029,2,1,1024,0,1,1,94
64337,5357,2,1,1024,0,1,1,95
64337,79,2,1,1024,0,1,1,96
64337,6001,2,1,1024,0,1,1,97
64337,5432,2,1,1024,0,1,1,98
64337,5666,2,1,1024,0,1,1,99
64337,8081,2,1,1024,0,1,1,100
52742,3000,2,1,1,1,0,1,101
52742,3000,4,6,0,0,1,1,102
52743,3000,2,1,63,1,0,1,103
52743,3000,4,6,0,0,1,1,104
52744,3000,2,1,4,1,0,1,105
52744,3000,4,6,0,0,1,1,106
52745,3000,2,1,4,1,0,1,107
52745,3000,4,6,0,0,1,1,108
52746,3000,2,1,16,1,0,1,109
52746,3000,4,6,0,0,1,1,110
52747,3000,2,1,512,1,0,1,111
52747,3000,4,6,0,0,1,1,112
52754,3000,194,12,3,1,0,1,113
52754,3000,4,6,0,0,1,1,114
52756,3000,0,0,128,1,0,1,115
52757,3000,43,11,256,1,0,1,116
52758,3000,16,2,1024,1,0,1,117
52759,7,2,1,31337,1,0,1,118
52760,7,16,2,32768,1,0,1,119
52761,7,41,10,65535,1,0,1,120
52756,3000,0,0,128,1,0,1,121
52757,3000,43,11,256,1,0,1,122
52756,3000,0,0,128,1,0,1,123
52757,3000,43,11,256,1,0,1,124
443,48906,24,9,32127,0,1,1,125
443,59540,24,9,32698,0,1,1,126
443,58640,16,2,32685,0,1,1,127
52756,3000,0,0,128,1,0,1,128
52757,3000,43,11,256,1,0,1,129
443,58640,16,2,32617,0,1,1,130
51898,111,2,1,1024,0,1,1,131
51898,1720,2,1,1024,0,1,1,132
51898,993,2,1,1024,0,1,1,133
51898,113,2,1,1024,0,1,1,134
51898,53,2,1,1024,0,1,1,135
51898,22,2,1,1024,0,1,1,136
51898,554,2,1,1024,0,1,1,137
51898,5900,2,1,1024,0,1,1,138
51898,3389,2,1,1024,0,1,1,139
51898,445,2,1,1024,0,1,1,140
51898,587,2,1,1024,0,1,1,141
51898,8080,2,1,1024,0,1,1,142
51898,143,2,1,1024,0,1,1,143
51898,21,2,1,1024,0,1,1,144
51898,80,2,1,1024,0,1,1,145
51898,1723,2,1,1024,0,1,1,146
51898,110,2,1,1024,0,1,1,147
51898,25,2,1,1024,0,1,1,148
51898,443,2,1,1024,0,1,1,149
51898,199,2,1,1024,0,1,1,150
51898,139,2,1,1024,0,1,1,151
51898,135,2,1,1024,0,1,1,152
51898,23,2,1,1024,0,1,1,153
51898,995,2,1,1024,0,1,1,154
51898,3306,2,1,1024,0,1,1,155
51898,8888,2,1,1024,0,1,1,156
51898,1025,2,1,1024,0,1,1,157
51898,8443,2,1,1024,0,1,1,158
51898,8000,2,1,1024,0,1,1,159
51898,2000,2,1,1024,0,1,1,160
51898,32768,2,1,1024,0,1,1,161
51898,1110,2,1,1024,0,1,1,162
51898,544,2,1,1024,0,1,1,163
51898,26,2,1,1024,0,1,1,164
51898,7070,2,1,1024,0,1,1,165
51898,9999,2,1,1024,0,1,1,166
51898,49153,2,1,1024,0,1,1,167
51898,79,2,1,1024,0,1,1,168
51898,1026,2,1,1024,0,1,1,169
51898,106,2,1,1024,0,1,1,170
51898,9,2,1,1024,0,1,1,171
51898,179,2,1,1024,0,1,1,172
51898,5357,2,1,1024,0,1,1,173
51898,4899,2,1,1024,0,1,1,174
51898,1028,2,1,1024,0,1,1,175
51898,1027,2,1,1024,0,1,1,176
51898,8009,2,1,1024,0,1,1,177
51898,5800,2,1,1024,0,1,1,178
51898,3986,2,1,1024,0,1,1,179
