tcp.srcport,tcp.dstport,tcp.flags,tcp.flags_numeric,tcp.window_size_value,type_f,type_n,series_id,instance_id
52190,443,24,9,590,0,1,1,1
443,52190,24,9,17,0,1,1,2
52190,443,16,2,590,0,1,1,3
46330,443,24,9,445,0,1,1,4
443,46330,16,2,16,0,1,1,5
443,46330,24,9,16,0,1,1,6
46330,443,16,2,445,0,1,1,7
42846,443,16,2,624,0,1,1,8
443,42846,16,2,16385,0,1,1,9
60774,443,24,9,507,0,1,1,10
443,60774,16,2,289,0,1,1,11
443,60774,24,9,289,0,1,1,12
60774,443,16,2,507,0,1,1,13
47136,5222,24,9,485,0,1,1,14
60768,443,24,9,485,0,1,1,15
60768,443,25,99,485,0,1,1,16
47136,5222,25,99,485,0,1,1,17
443,60768,24,9,289,0,1,1,18
5222,47136,24,9,289,0,1,1,19
443,60768,24,9,289,0,1,1,20
443,60768,17,5,289,0,1,1,21
5222,47136,24,9,289,0,1,1,22
5222,47136,17,5,289,0,1,1,23
60768,443,4,6,0,0,1,1,24
47136,5222,4,6,0,0,1,1,25
60768,443,4,6,0,0,1,1,26
60768,443,4,6,0,0,1,1,27
47136,5222,4,6,0,0,1,1,28
47136,5222,4,6,0,0,1,1,29
35844,443,16,2,478,0,1,1,30
35844,443,16,2,478,0,1,1,31
35844,443,24,9,478,0,1,1,32
443,35844,16,2,810,0,1,1,33
443,35844,16,2,800,0,1,1,34
443,35844,24,9,800,0,1,1,35
443,35844,24,9,800,0,1,1,36
443,35844,24,9,800,0,1,1,37
35844,443,16,2,477,0,1,1,38
35844,443,24,9,477,0,1,1,39
443,35844,16,2,800,0,1,1,40
62526,53,2,1,1024,0,1,1,41
62526,1720,2,1,1024,0,1,1,42
62526,443,2,1,1024,0,1,1,43
62526,23,2,1,1024,0,1,1,44
62526,199,2,1,1024,0,1,1,45
62526,21,2,1,1024,0,1,1,46
62526,587,2,1,1024,0,1,1,47
62526,3306,2,1,1024,0,1,1,48
62526,1723,2,1,1024,0,1,1,49
62526,3389,2,1,1024,0,1,1,50
1720,62526,20,7,0,0,1,1,51
443,62526,18,3,14600,0,1,1,52
1723,62526,20,7,0,0,1,1,53
53,62526,18,3,14600,0,1,1,54
62526,443,4,6,0,0,1,1,55
62526,53,4,6,0,0,1,1,56
62526,445,2,1,1024,0,1,1,57
62526,5900,2,1,1024,0,1,1,58
62526,113,2,1,1024,0,1,1,59
62526,25,2,1,1024,0,1,1,60
62526,8888,2,1,1024,0,1,1,61
62526,995,2,1,1024,0,1,1,62
62526,139,2,1,1024,0,1,1,63
62526,22,2,1,1024,0,1,1,64
199,62526,20,7,0,0,1,1,65
587,62526,20,7,0,0,1,1,66
3306,62526,20,7,0,0,1,1,67
3389,62526,20,7,0,0,1,1,68
25,62526,20,7,0,0,1,1,69
995,62526,20,7,0,0,1,1,70
445,62526,20,7,0,0,1,1,71
5900,62526,20,7,0,0,1,1,72
113,62526,20,7,0,0,1,1,73
8888,62526,20,7,0,0,1,1,74
139,62526,20,7,0,0,1,1,75
62528,22,2,1,1024,0,1,1,76
62528,21,2,1,1024,0,1,1,77
62528,23,2,1,1024,0,1,1,78
62526,993,2,1,1024,0,1,1,79
62526,1025,2,1,1024,0,1,1,80
62526,135,2,1,1024,0,1,1,81
62526,111,2,1,1024,0,1,1,82
62526,80,2,1,1024,0,1,1,83
62526,8080,2,1,1024,0,1,1,84
62526,554,2,1,1024,0,1,1,85
62526,110,2,1,1024,0,1,1,86
62526,143,2,1,1024,0,1,1,87
62526,6000,2,1,1024,0,1,1,88
62526,32768,2,1,1024,0,1,1,89
62526,49155,2,1,1024,0,1,1,90
62526,1755,2,1,1024,0,1,1,91
62526,389,2,1,1024,0,1,1,92
62526,8081,2,1,1024,0,1,1,93
62526,5101,2,1,1024,0,1,1,94
62526,2717,2,1,1024,0,1,1,95
62526,5666,2,1,1024,0,1,1,96
62526,7,2,1,1024,0,1,1,97
62526,10000,2,1,1024,0,1,1,98
62526,119,2,1,1024,0,1,1,99
62526,8008,2,1,1024,0,1,1,100
62526,49154,2,1,1024,0,1,1,101
62526,5000,2,1,1024,0,1,1,102
62526,548,2,1,1024,0,1,1,103
62526,49156,2,1,1024,0,1,1,104
62526,514,2,1,1024,0,1,1,105
62526,5009,2,1,1024,0,1,1,106
62526,646,2,1,1024,0,1,1,107
993,62526,20,7,0,0,1,1,108
80,62526,18,3,14600,0,1,1,109
8080,62526,20,7,0,0,1,1,110
554,62526,20,7,0,0,1,1,111
62526,80,4,6,0,0,1,1,112
110,62526,20,7,0,0,1,1,113
143,62526,20,7,0,0,1,1,114
1025,62526,20,7,0,0,1,1,115
135,62526,20,7,0,0,1,1,116
111,62526,20,7,0,0,1,1,117
6000,62526,20,7,0,0,1,1,118
32768,62526,20,7,0,0,1,1,119
49155,62526,20,7,0,0,1,1,120
1755,62526,20,7,0,0,1,1,121
389,62526,20,7,0,0,1,1,122
8081,62526,20,7,0,0,1,1,123
5101,62526,20,7,0,0,1,1,124
2717,62526,20,7,0,0,1,1,125
5666,62526,20,7,0,0,1,1,126
7,62526,20,7,0,0,1,1,127
10000,62526,20,7,0,0,1,1,128
119,62526,20,7,0,0,1,1,129
8008,62526,20,7,0,0,1,1,130
49154,62526,20,7,0,0,1,1,131
5000,62526,20,7,0,0,1,1,132
548,62526,20,7,0,0,1,1,133
49156,62526,20,7,0,0,1,1,134
514,62526,20,7,0,0,1,1,135
5009,62526,20,7,0,0,1,1,136
